n 	 k 	 h[J] 	 h[eV] 
65	13	8.25863841909016e-14	515462.58342322084
66	13	8.260668734411617e-14	515589.30547202047
67	13	8.262727071779924e-14	515717.77651574253
68	13	8.264813412396393e-14	515847.99538106786
69	13	8.266927737195006e-14	515979.96087799163
70	13	8.269070026841034e-14	516113.6717997375
71	13	8.271240261708872e-14	516249.1269213741
72	13	8.273438421897879e-14	516386.3250008038
73	13	8.275664487260714e-14	516525.2647805312
74	13	8.27791843740245e-14	516665.94498760754
75	13	8.280200251663135e-14	516808.3643325428
76	13	8.282509909118898e-14	516952.5215093746
77	13	8.284847388591776e-14	517098.41519628104
78	13	8.287212668682411e-14	517246.04405762214
79	13	8.289605727758672e-14	517395.40674322937
1	14	8.187594434138455e-14	511028.37597139244
2	14	8.187842426203342e-14	511043.8543861078
3	14	8.188109166329183e-14	511060.5029602905
4	14	8.188400638594063e-14	511078.69518993265
5	14	8.18871870668054e-14	511098.5473967057
6	14	8.189064172145724e-14	511120.1096097645
7	14	8.189437442967759e-14	511143.40729304816
8	14	8.18983875034205e-14	511168.45487660874
9	14	8.190268235623822e-14	511195.2611831269
10	14	8.190725990329588e-14	511223.831924602
11	14	8.191212076428854e-14	511254.17096885835
12	14	8.19172653739884e-14	511286.2810295248
13	14	8.192269404618743e-14	511320.1640651327
14	14	8.19284070124482e-14	511355.82152097893
15	14	8.193440444623299e-14	511393.2544797276
16	14	8.19406864787508e-14	511432.4637603191
17	14	8.194725320949215e-14	511473.4499837231
18	14	8.195410471332757e-14	511516.21361724386
19	14	8.196124104561077e-14	511560.7550063712
20	14	8.196866224561327e-14	511607.0743962181
21	14	8.197636833928132e-14	511655.1719487281
22	14	8.198435934113496e-14	511705.04775452794
23	14	8.199263525561951e-14	511756.70184136304
24	14	8.200119607828924e-14	511810.13418148545
25	14	8.20100417965265e-14	511865.3446961421
26	14	8.201917239024353e-14	511922.3332599554
27	14	8.20285878323979e-14	511981.09970414
28	14	8.203828808954114e-14	512041.64381992747
29	14	8.20482731221719e-14	512103.96536077035
30	14	8.205854288484772e-14	512168.06404303963
31	14	8.20690973265516e-14	512233.9395483129
32	14	8.207993639082258e-14	512301.59152418945
33	14	8.209106001604528e-14	512371.019586097
34	14	8.210246813567005e-14	512442.2233186661
35	14	8.211416067828463e-14	512515.20227617765
36	14	8.212613756763689e-14	512589.9559827041
37	14	8.213839872273647e-14	512666.48393274454
38	14	8.215094405817991e-14	512744.7855932536
39	14	8.216377348421253e-14	512824.8604040278
40	14	8.217688690674172e-14	512906.7077777885
41	14	8.219028422736819e-14	512990.32710037695
42	14	8.220396534342789e-14	513075.7177310158
43	14	8.221793014817543e-14	513162.87900345423
44	14	8.223217853102283e-14	513251.81022745784
45	14	8.224671037744187e-14	513342.5106881991
46	14	8.22615255689971e-14	513434.97964646353
47	14	8.227662398342654e-14	513529.2163391538
48	14	8.229200549476935e-14	513625.21998008556
49	14	8.230766997350174e-14	513722.98976083676
50	14	8.232361728648737e-14	513822.5248504373
51	14	8.233984729700922e-14	513923.8243955687
52	14	8.235635986476949e-14	514026.88752056257
53	14	8.23731548460975e-14	514131.71332869906
54	14	8.239023209395534e-14	514238.30090224155
55	14	8.240759145792902e-14	514346.6493023819
56	14	8.242523278426684e-14	514456.75756947935
57	14	8.24431559159796e-14	514568.6247236865
58	14	8.2461360692949e-14	514682.24976562563
59	14	8.247984695189598e-14	514797.6316761911
60	14	8.249861452645051e-14	514914.7694169851
61	14	8.25176632472671e-14	515033.6619310383
62	14	8.253699294203146e-14	515154.308142852
63	14	8.255660343540369e-14	515276.70695804275
64	14	8.257649454902178e-14	515400.85726336483
65	14	8.259666610167533e-14	515526.7579277942
66	14	8.261711790938742e-14	515654.4078030397
67	14	8.263784978536912e-14	515783.80572325905
68	14	8.265886153999211e-14	515914.9505048878
69	14	8.268015298081676e-14	516047.8409468147
70	14	8.270172391285932e-14	516182.47583204956
71	14	8.272357413863047e-14	516318.8539279636
72	14	8.274570345792695e-14	516456.97398498893
73	14	8.276811166778752e-14	516596.83473634376
74	14	8.279079856278423e-14	516738.4348998504
75	14	8.281376393509835e-14	516881.7731784091
76	14	8.283700757452834e-14	517026.8482600478
77	14	8.286052926829866e-14	517173.65881672886
78	14	8.288432880104857e-14	517322.20350427896
79	14	8.290840595516849e-14	517472.48096448893
1	15	8.187654945220053e-14	511032.1527681067
2	15	8.187920579068421e-14	511048.7322940257
3	15	8.188203571935415e-14	511066.39528239117
4	15	8.188510726495255e-14	511085.5663218399
5	15	8.188844182790071e-14	511106.3789830151
6	15	8.189204868617907e-14	511128.8911743941
7	15	8.189593259058199e-14	511153.1325480407
8	15	8.190009624382415e-14	511179.1199729378
9	15	8.190454130099241e-14	511206.86377930327
10	15	8.190926883258043e-14	511236.37064861896
11	15	8.19142795607621e-14	511267.64508833026
12	15	8.191957398895831e-14	511300.69024053676
13	15	8.192515247702652e-14	511335.50835128716
14	15	8.193101528720214e-14	511372.10105732275
15	15	8.193716261293531e-14	511410.469566062
16	15	8.19435945977157e-14	511450.6147730948
17	15	8.195031134783911e-14	511492.5373418662
18	15	8.195731294099483e-14	511536.2377572734
19	15	8.196459943243926e-14	511581.7163641991
20	15	8.197217085928207e-14	511628.97339426324
21	15	8.198002724360398e-14	511678.00898528245
22	15	8.198816859499227e-14	511728.82319709565
23	15	8.199659491214373e-14	511781.41602156893
24	15	8.200530618429432e-14	511835.7873915186
25	15	8.201430239223235e-14	511891.93718703487
26	15	8.202358350902784e-14	511949.8652400345
27	15	8.203314950069989e-14	512009.5713384257
28	15	8.204300032666383e-14	512071.0552288996
29	15	8.205313594036038e-14	512134.31662085647
30	15	8.206355628947477e-14	512199.35518777394
31	15	8.207426131621265e-14	512266.17056892894
32	15	8.208525095752248e-14	512334.7623707853
33	15	8.209652514525413e-14	512405.13016798446
34	15	8.210808380641916e-14	512477.2735049692
35	15	8.211992686341787e-14	512551.1918974015
36	15	8.213205423417373e-14	512626.8848330009
37	15	8.214446583207227e-14	512704.3517711635
38	15	8.215716156608151e-14	512783.5921437137
39	15	8.217014134099836e-14	512864.60535644164
40	15	8.218340505755555e-14	512947.39078977116
41	15	8.21969526124874e-14	513031.94779916987
42	15	8.221078389854731e-14	513118.2757152587
43	15	8.222489880444205e-14	513206.37384340115
44	15	8.223929721503306e-14	513296.2414649606
45	15	8.225397901152122e-14	513387.87783845275
46	15	8.226894407144196e-14	513481.2821995154
47	15	8.22841922686891e-14	513576.4537610574
48	15	8.22997234734892e-14	513673.39171309845
49	15	8.231553755258367e-14	513772.0952239054
50	15	8.233163436929209e-14	513872.56344038807
51	15	8.234801378359935e-14	513974.79548864265
52	15	8.23646756521049e-14	514078.7904736353
53	15	8.238161982800919e-14	514184.5474791171
54	15	8.239884616130312e-14	514292.065568807
55	15	8.241635449877222e-14	514401.3437864174
56	15	8.24341446840419e-14	514512.3811559369
57	15	8.245221655752242e-14	514625.1766812869
58	15	8.247056995653528e-14	514739.7293471101
59	15	8.248920471537502e-14	514856.0381191565
60	15	8.250812066530378e-14	514974.10194424965
61	15	8.252731763457818e-14	515093.9197504536
62	15	8.254679544860165e-14	515215.4904480249
63	15	8.256655392997765e-14	515338.81292974355
64	15	8.258659289846443e-14	515463.88607063144
65	15	8.26069121709117e-14	515590.70872755686
66	15	8.262751156138035e-14	515719.27973998146
67	15	8.264839088125652e-14	515849.5979306727
68	15	8.266954993928728e-14	515981.6621059262
69	15	8.269098854150314e-14	516115.4710550821
70	15	8.271270649112307e-14	516251.0235499324
71	15	8.273470358882975e-14	516388.3183464389
72	15	8.275697963294286e-14	516527.35418581474
73	15	8.277953441925816e-14	516668.12979351985
74	15	8.280236774092338e-14	516810.64387848665
75	15	8.282547938856463e-14	516954.895133909
76	15	8.284886915043428e-14	517100.8822381647
77	15	8.287253681260813e-14	517248.603856047
78	15	8.289648215873772e-14	517398.0586372175
79	15	8.292070496995467e-14	517549.2452156104
1	16	8.187718716758924e-14	511036.13306613016
2	16	8.188002178637153e-14	511053.8253278129
3	16	8.188301533441859e-14	511072.50954586
4	16	8.188624436101545e-14	511092.66350232466
5	16	8.18897331673596e-14	511114.438873033
6	16	8.189349236781362e-14	511137.9019074862
7	16	8.189752743018122e-14	511163.08673295897
8	16	8.190184147922982e-14	511190.0128526746
9	16	8.190643643427704e-14	511218.69224604627
10	16	8.19113135384532e-14	511249.13267206686
11	16	8.191647363009235e-14	511281.3393631948
12	16	8.192191729241396e-14	511315.3159595923
13	16	8.19276449407288e-14	511351.06505341973
14	16	8.193365687590159e-14	511388.588522523
15	16	8.193995331827191e-14	511427.88774215075
16	16	8.19465344297296e-14	511468.9637227378
17	16	8.195340032875104e-14	511511.8172037539
18	16	8.196055110069573e-14	511556.44871797005
19	16	8.196798680504135e-14	511602.8586366161
20	16	8.197570748067518e-14	511651.0472024066
21	16	8.198371314950674e-14	511701.0145520899
22	16	8.199200381944315e-14	511752.76073501824
23	16	8.200057948648038e-14	511806.28572620044
24	16	8.200944013627934e-14	511861.58943613915
25	16	8.201858574550256e-14	511918.6717191736
26	16	8.202801628268997e-14	511977.53237894597
27	16	8.203773170908701e-14	512038.1711735698
28	16	8.204773197911212e-14	512100.58781854797
29	16	8.205801704092593e-14	512164.78199032525
30	16	8.206858683696115e-14	512230.7533295956
31	16	8.207944130414489e-14	512298.5014426899
32	16	8.209058037423913e-14	512368.02590370073
33	16	8.210200397399604e-14	512439.32625545224
34	16	8.211371202531422e-14	512512.40201047465
35	16	8.212570444546756e-14	512587.2526524333
36	16	8.213798114735935e-14	512663.87763771456
37	16	8.215054203967568e-14	512742.2763963829
38	16	8.216338702680598e-14	512822.44833168545
39	16	8.21765160089698e-14	512904.39282084286
40	16	8.218992888237806e-14	512988.109216056
41	16	8.220362553936037e-14	513073.59684530064
42	16	8.221760586850835e-14	513160.8550132217
43	16	8.223186975467957e-14	513249.88300115825
44	16	8.224641707888163e-14	513340.6800664197
45	16	8.22612477184619e-14	513433.2454434702
46	16	8.22763615472279e-14	513527.5783446797
47	16	8.229175843553085e-14	513623.67796084617
48	16	8.230743825026926e-14	513721.543461217
49	16	8.2323400854861e-14	513821.1739933154
50	16	8.233964610934553e-14	513922.5686835782
51	16	8.235617387046663e-14	514025.72663787234
52	16	8.237298399182349e-14	514130.64694243774
53	16	8.239007632376649e-14	514237.3286632369
54	16	8.240745071344351e-14	514345.77084624395
55	16	8.242510700487009e-14	514455.9725178824
56	16	8.244304503902694e-14	514567.93268563424
57	16	8.246126465387255e-14	514681.6503381178
58	16	8.247976568430219e-14	514797.1244448326
59	16	8.249854796223933e-14	514914.3539567298
60	16	8.251761131670619e-14	515033.3378066521
61	16	8.2536955573788e-14	515154.0749091113
62	16	8.255658055664945e-14	515276.5641603905
63	16	8.257648608563124e-14	515400.80443914694
64	16	8.259667197840394e-14	515526.79460737214
65	16	8.261713804993403e-14	515654.5335101801
66	16	8.263788411241657e-14	515784.0199753871
67	16	8.265890997531696e-14	515915.25281377224
68	16	8.268021544545964e-14	516048.230819631
69	16	8.270180032721317e-14	516182.9527719306
70	16	8.272366442235768e-14	516319.41743348236
71	16	8.27458075299409e-14	516457.6235500437
72	16	8.276822944642548e-14	516597.56985123694
73	16	8.279092996597191e-14	516739.2550523157
74	16	8.28139088803573e-14	516882.6778536575
75	16	8.283716597891266e-14	517027.8369403729
76	16	8.286070104840902e-14	517174.73098159395
77	16	8.288451387322426e-14	517323.3586315162
78	16	8.290860423562192e-14	517473.7185311383
79	16	8.293297191567592e-14	517625.80930779263
1	17	8.187785737221931e-14	511040.3161456223
2	17	8.188087211980101e-14	511059.13268047915
3	17	8.188403041427554e-14	511078.84516268794
4	17	8.18874176461603e-14	511099.98655681824
5	17	8.18910611471708e-14	511122.72745366185
6	17	8.189497293790237e-14	511147.14287971624
7	17	8.189915924646139e-14	511173.271707682
8	17	8.190362364896957e-14	511201.1362579084
9	17	8.19083683500664e-14	511230.750290644
10	17	8.191339478144731e-14	511262.12274181
11	17	8.191870391008711e-14	511295.2596467757
12	17	8.19242964090357e-14	511330.1652063795
13	17	8.193017275739778e-14	511366.8424109512
14	17	8.193633330170543e-14	511405.29342336964
15	17	8.19427782951756e-14	511445.5198240872
16	17	8.194950792336408e-14	511487.52277124964
17	17	8.195652232154389e-14	511531.30310916307
18	17	8.196382158684169e-14	511576.86144404305
19	17	8.197140578664256e-14	511624.1981964733
20	17	8.197927496484287e-14	511673.3136404329
21	17	8.198742914623839e-14	511724.2079306844
22	17	8.199586833980181e-14	511776.8811232309
23	17	8.20045925413204e-14	511831.33319177874
24	17	8.201360173521384e-14	511887.56403908326
25	17	8.202289589607674e-14	511945.5735065769
26	17	8.203247498982618e-14	512005.3613815313
27	17	8.204233897461995e-14	512066.92740278837
28	17	8.205248780157967e-14	512130.271265274
29	17	8.206292141521222e-14	512195.3926226281
30	17	8.207363975406542e-14	512262.291091297
31	17	8.208464275107285e-14	512330.96625268605
32	17	8.209593033391347e-14	512401.4176554037
33	17	8.210750242529869e-14	512473.6448170536
34	17	8.211935894312766e-14	512547.6472252036
35	17	8.21314998006436e-14	512623.4243383615
36	17	8.214392490659415e-14	512700.97558697616
37	17	8.215663416555989e-14	512780.3003754877
38	17	8.216962747805381e-14	512861.39808294835
39	17	8.218290474051521e-14	512944.2680629842
40	17	8.2196465845393e-14	513028.9096443159
41	17	8.221031068125205e-14	513115.3221314213
42	17	8.22244391328913e-14	513203.50480527343
43	17	8.223885108157642e-14	513293.4569247926
44	17	8.22535464049878e-14	513385.1777265214
45	17	8.226852497717523e-14	513478.666424342
46	17	8.228378666865465e-14	513573.9222100803
47	17	8.229933134648748e-14	513670.9442540007
48	17	8.231515887445636e-14	513769.73170590296
49	17	8.233126911301228e-14	513870.2836947926
50	17	8.2347661919317e-14	513972.5993291453
51	17	8.23643371472226e-14	514076.67769677937
52	17	8.238129464740167e-14	514182.51786566846
53	17	8.239853426748454e-14	514290.11888479785
54	17	8.241605585199367e-14	514399.4797837551
55	17	8.243385924238418e-14	514510.59957298293
56	17	8.245194427705467e-14	514623.477243847
57	17	8.247031079149576e-14	514738.11176956247
58	17	8.248895861827768e-14	514854.5021051173
59	17	8.250788758703891e-14	514972.6471872006
60	17	8.25270975245472e-14	515092.54593458417
61	17	8.254658825479303e-14	515214.1972487051
62	17	8.256635959895374e-14	515337.60001344257
63	17	8.258641137535472e-14	515462.75309487525
64	17	8.260674339953499e-14	515589.65534169064
65	17	8.262735548441031e-14	515718.30558620323
66	17	8.264824744030439e-14	515848.70264454925
67	17	8.266941907491104e-14	515980.84531645034
68	17	8.269087019324008e-14	516114.7323848761
69	17	8.271260059768406e-14	516250.3626164604
70	17	8.273461008827204e-14	516387.73476308555
71	17	8.275689846262684e-14	516526.84756161505
72	17	8.277946551574227e-14	516667.6997325037
73	17	8.280231104004469e-14	516810.2899801813
74	17	8.282543482560578e-14	516954.6169943813
75	17	8.284883666023247e-14	517100.67945070134
76	17	8.287251632948066e-14	517248.47601068957
77	17	8.289647361638699e-14	517398.0053201699
78	17	8.292070830158426e-14	517549.26600996306
79	17	8.294522016352742e-14	517702.25669729634
1	18	8.187855995813015e-14	511044.7013327476
2	18	8.188175666180125e-14	511064.65354580164
3	18	8.188508084970582e-14	511085.4014511841
4	18	8.188862705643515e-14	511107.53508616483
5	18	8.18924257673999e-14	511131.2447253112
6	18	8.189649047569138e-14	511156.6145856981
7	18	8.190082821071724e-14	511183.6885413452
8	18	8.190544302761861e-14	511212.4919023993
9	18	8.191033743617929e-14	511243.04033366597
10	18	8.191551307152651e-14	511275.3440407851
11	18	8.192097104085325e-14	511309.4099342974
12	18	8.192671211627217e-14	511345.24283334066
13	18	8.193273684825413e-14	511382.84617367666
14	18	8.193904563537296e-14	511422.22244300245
15	18	8.194563876909351e-14	511463.3734604945
16	18	8.195251646327944e-14	511506.30056098214
17	18	8.195967887408763e-14	511551.0047191179
18	18	8.196712611397191e-14	511597.48663678183
19	18	8.19748582614534e-14	511645.74680406327
20	18	8.198287536824986e-14	511695.7855437583
21	18	8.199117746458803e-14	511747.603044527
22	18	8.199976456289383e-14	511801.1993839258
23	18	8.200863666084797e-14	511856.5745474789
24	18	8.201779374360937e-14	511913.7284425556
25	18	8.20272357855014e-14	511972.66090889537
26	18	8.203696275145601e-14	512033.3717276212
27	18	8.204697459800497e-14	512095.86062742624
28	18	8.205727127426112e-14	512160.12729069847
29	18	8.206785272245291e-14	512226.171356857
30	18	8.207871887846436e-14	512293.99242572224
31	18	8.208986967236874e-14	512363.59006084676
32	18	8.210130502877728e-14	512434.9637916918
33	18	8.211302486720985e-14	512508.1131159411
34	18	8.212502910236955e-14	512583.0375012143
35	18	8.213731764432888e-14	512659.7363862293
36	18	8.21498903986201e-14	512738.209181366
37	18	8.216274726641675e-14	512818.45526979957
38	18	8.217588814484618e-14	512900.47400945076
39	18	8.218931292708781e-14	512984.2647335993
40	18	8.220302150241468e-14	513069.8267511433
41	18	8.22170137562734e-14	513157.1593470984
42	18	8.22312895703057e-14	513246.2617827317
43	18	8.224584882249444e-14	513337.1332964738
44	18	8.226069138740088e-14	513429.77310539945
45	18	8.227581713613387e-14	513524.18040503486
46	18	8.229122593635321e-14	513620.35436937935
47	18	8.23069176522694e-14	513718.2941509031
48	18	8.232289214476427e-14	513817.99888130097
49	18	8.233914927150074e-14	513919.4676721763
50	18	8.235568888696357e-14	514022.69961529644
51	18	8.237251084248408e-14	514127.6937827465
52	18	8.238961498615284e-14	514234.44922638434
53	18	8.240700116299943e-14	514342.9649789626
54	18	8.24246692150461e-14	514453.2400544639
55	18	8.244261898135943e-14	514565.273448423
56	18	8.246085029800987e-14	514679.0641376741
57	18	8.24793629981145e-14	514794.6110806183
58	18	8.249815691195114e-14	514911.91321793525
59	18	8.251723186697825e-14	515030.96947270754
60	18	8.253658768779954e-14	515151.7787502
61	18	8.255622419624887e-14	515274.33993838937
62	18	8.257614121146399e-14	515398.65190842474
63	18	8.25963385499184e-14	515524.713514826
64	18	8.26168160253197e-14	515652.5235948501
65	18	8.263757344863969e-14	515782.08096867823
66	18	8.265861062824526e-14	515913.38444023306
67	18	8.26799273699735e-14	516046.43279764755
68	18	8.27015234771901e-14	516181.2248136296
69	18	8.272339875060849e-14	516317.7592443327
70	18	8.274555298834885e-14	516456.0348297248
71	18	8.276798598618522e-14	516596.0502951305
72	18	8.279069753763404e-14	516737.8043517835
73	18	8.281368743372423e-14	516881.2956953915
74	18	8.283695546300422e-14	517026.5230061804
75	18	8.286050141158036e-14	517173.48494913406
76	18	8.288432506336558e-14	517322.1801755457
77	18	8.290842620014498e-14	517472.607323428
78	18	8.293280460136395e-14	517624.7650161901
79	18	8.295746004402535e-14	517778.6518619965
1	19	8.187929482442228e-14	511049.2879977423
2	19	8.188267528592895e-14	511070.38713458506
3	19	8.188616652398243e-14	511092.17768279737
4	19	8.188987250594963e-14	511115.30855427997
5	19	8.189382698826616e-14	511139.9904396894
6	19	8.189804499961354e-14	511166.3171404807
7	19	8.190253440970664e-14	511194.33777544746
8	19	8.1907299778983e-14	511224.08080854214
9	19	8.191234394114948e-14	511255.56392633467
10	19	8.19176687487858e-14	511288.7986916938
11	19	8.192327546016591e-14	511323.79295813147
12	19	8.192916495509906e-14	511360.5522169735
13	19	8.193533786242384e-14	511399.08039311337
14	19	8.194179463861736e-14	511439.38033565116
15	19	8.194853561832827e-14	511481.4541332951
16	19	8.19555610479202e-14	511525.30332372274
17	19	8.196287110812073e-14	511570.92903494445
18	19	8.197046592990189e-14	511618.3320844218
19	19	8.197834560577335e-14	511667.51304955344
20	19	8.198651019783005e-14	511718.4723179047
21	19	8.199495974392487e-14	511771.21012573416
22	19	8.200369426201573e-14	511825.7265851261
23	19	8.201271375353402e-14	511882.0217050145
24	19	8.202201820605963e-14	511940.0954078795
25	19	8.203160759523346e-14	511999.94754168356
26	19	8.204148188641965e-14	512061.57789024734
27	19	8.205164103587531e-14	512124.9861805497
28	19	8.206208499180679e-14	512190.1720893208
29	19	8.207281369523118e-14	512257.13524841896
30	19	8.208382708044241e-14	512325.87524774
31	19	8.209512507562417e-14	512396.3916390429
32	19	8.210670760326173e-14	512468.6839385196
33	19	8.211857458050964e-14	512542.75162909064
34	19	8.213072591955836e-14	512618.5941626931
35	19	8.214316152790332e-14	512696.2109619601
36	19	8.215588130855709e-14	512775.60142154497
37	19	8.216888516007458e-14	512856.7649082786
38	19	8.218217297678628e-14	512939.70076262514
39	19	8.219574464904299e-14	513024.4083002096
40	19	8.22096000633384e-14	513110.8868125829
41	19	8.222373910239999e-14	513199.13556778885
42	19	8.223816164526709e-14	513289.15381085203
43	19	8.225286756722585e-14	513380.9407633715
44	19	8.226785674001885e-14	513474.49562482897
45	19	8.228312903201204e-14	513569.8175736312
46	19	8.229868430822748e-14	513666.9057673138
47	19	8.231452243038657e-14	513765.7593428115
48	19	8.233064325684402e-14	513866.37741604575
49	19	8.234704664272406e-14	513968.7590827751
50	19	8.236373243997225e-14	514072.9034189183
51	19	8.238070049749334e-14	514178.8094814149
52	19	8.239795066111662e-14	514286.4763080092
53	19	8.24154827735529e-14	514395.90291698126
54	19	8.243329667450414e-14	514507.08830783144
55	19	8.245139220072869e-14	514620.0314616878
56	19	8.246976918612754e-14	514734.73134184384
57	19	8.248842746167875e-14	514851.18689335
58	19	8.250736685549128e-14	514969.39704334893
59	19	8.252658719289826e-14	515089.3607016581
60	19	8.254608829648794e-14	515211.07676096284
61	19	8.256586998607269e-14	515334.5440966227
62	19	8.258593207873321e-14	515459.76156694756
63	19	8.260627438894107e-14	515586.7280139627
64	19	8.26268967286061e-14	515715.4422637038
65	19	8.264779890699272e-14	515845.90312569577
66	19	8.266898073070642e-14	515978.1093928673
67	19	8.269044200373896e-14	516112.059841834
68	19	8.271218252762205e-14	516247.7532338567
69	19	8.273420210151513e-14	516385.18831538985
70	19	8.275650052203181e-14	516524.3638169982
71	19	8.277907758318112e-14	516665.2784529898
72	19	8.280193307663383e-14	516807.9309230788
73	19	8.282506679183724e-14	516952.31991310115
74	19	8.284847851594636e-14	517098.4440945859
75	19	8.287216803373723e-14	517246.3021242134
76	19	8.289613512750094e-14	517395.8926431546
77	19	8.292037957734538e-14	517547.21427895356
78	19	8.294490116131372e-14	517700.2656462677
79	19	8.296969965532485e-14	517855.0453464957
1	20	8.188006187680187e-14	511054.07555207197
2	20	8.188362786986332e-14	511076.3326833647
3	20	8.188728731746038e-14	511099.17311076395
4	20	8.189115389573839e-14	511123.3063434719
5	20	8.189526474423902e-14	511148.964187788
6	20	8.189963648749748e-14	511176.25040568155
7	20	8.190427787278143e-14	511205.21959318826
8	20	8.190919399089554e-14	511235.90352454496
9	20	8.191438801736219e-14	511268.3220197618
10	20	8.191986203553752e-14	511302.48808209767
11	20	8.192561746505655e-14	511338.4105721988
12	20	8.193165530158252e-14	511376.09570449335
13	20	8.19379762588962e-14	511415.5479340411
14	20	8.194458085683075e-14	511456.7705053786
15	20	8.1951469477823e-14	511499.7658054838
16	20	8.195864240461098e-14	511544.5355990649
17	20	8.196609984586045e-14	511591.0811885085
18	20	8.197384195399846e-14	511639.4035251873
19	20	8.198186883807699e-14	511689.5032897489
20	20	8.199018057291113e-14	511741.38094915135
21	20	8.199877720598081e-14	511795.03679974045
22	20	8.200765876258857e-14	511850.4709994418
23	20	8.201682524960011e-14	511907.6835911078
24	20	8.202627665849073e-14	511966.6745215315
25	20	8.203601296761903e-14	512027.44365563814
26	20	8.204603414402758e-14	512089.99078772415
27	20	8.205634014490101e-14	512154.3156505574
28	20	8.206693091862115e-14	512220.4179219635
29	20	8.207780640586599e-14	512288.29723168426
30	20	8.208896654024368e-14	512357.95316533523
31	20	8.210041124887931e-14	512429.38526806794
32	20	8.211214045293275e-14	512502.5930478021
33	20	8.212415406798043e-14	512577.5759776082
34	20	8.213645200439581e-14	512654.3334980827
35	20	8.214903416765843e-14	512732.86501927645
36	20	8.216190045869697e-14	512813.1699228362
37	20	8.217505077403135e-14	512895.2475628915
38	20	8.218848500583531e-14	512979.09726644517
39	20	8.220220304214739e-14	513064.7183346902
40	20	8.221620476708499e-14	513152.1100443458
41	20	8.223049006096322e-14	513241.2716483992
42	20	8.224505880047136e-14	513332.20237720705
43	20	8.225991085867915e-14	513424.90143853467
44	20	8.227504610500579e-14	513519.36801736255
45	20	8.229046440539624e-14	513615.6012769866
46	20	8.230616562243083e-14	513713.6003597026
47	20	8.232214961547664e-14	513813.36438775074
48	20	8.233841624065083e-14	513914.89246308676
49	20	8.235496535084334e-14	514018.1836675239
50	20	8.2371796795755e-14	514123.23706297047
51	20	8.238891042196074e-14	514230.0516918245
52	20	8.240630607309498e-14	514338.6265781309
53	20	8.242398358977415e-14	514448.96072709776
54	20	8.244194280962701e-14	514561.0531252856
55	20	8.24601835672961e-14	514674.9027406165
56	20	8.247870569456823e-14	514790.5085231886
57	20	8.249750902042202e-14	514907.86940557254
58	20	8.251659337100097e-14	515026.9843026437
59	20	8.253595856963153e-14	515147.85211169487
60	20	8.255560443694195e-14	515270.471713178
61	20	8.257553079087069e-14	515394.8419707567
62	20	8.259573744665727e-14	515520.9617312491
63	20	8.261622421683506e-14	515648.82982458314
64	20	8.263699091137456e-14	515778.4450646904
65	20	8.26580373377589e-14	515909.80624997756
66	20	8.267936330094211e-14	516042.912163066
67	20	8.270096860332638e-14	516177.76157064986
68	20	8.272285304468696e-14	516314.35322302714
69	20	8.274501642239151e-14	516452.68585546885
70	20	8.276745853151946e-14	516592.75818896416
71	20	8.279017916472408e-14	516734.56892935926
72	20	8.281317811208953e-14	516878.1167664653
73	20	8.283645516134357e-14	517023.4003753858
74	20	8.286001009796157e-14	517170.4184171664
75	20	8.288384270529857e-14	517319.16953961836
76	20	8.290795276442304e-14	517469.65237628133
77	20	8.29323400539938e-14	517621.86554565525
78	20	8.295700435039047e-14	517775.8076520146
79	20	8.29819454279917e-14	517931.4772871444
1	21	8.188086102707635e-14	511059.063445283
2	21	8.188461429609533e-14	511082.4894587083
3	21	8.188844311040504e-14	511106.38698776066
4	21	8.189247111946152e-14	511131.5277900206
5	21	8.189673895325074e-14	511158.1654573814
6	21	8.190126488987348e-14	511186.4140725354
7	21	8.190605858982002e-14	511216.33393139363
8	21	8.191112569826641e-14	511247.9602682995
9	21	8.191646974967082e-14	511281.31514355954
10	21	8.192209307089969e-14	511316.41308030114
11	21	8.1927997252742e-14	511353.2640074274
12	21	8.193418341447477e-14	511391.87491090124
13	21	8.194065236106518e-14	511432.25081492204
14	21	8.194740468083167e-14	511474.3953914771
15	21	8.1954440808328e-14	511518.3113528318
16	21	8.196176106631463e-14	511564.0007134943
17	21	8.196936569451031e-14	511611.4649696683
18	21	8.197725486953872e-14	511660.7052237496
19	21	8.198542871934152e-14	511711.7222742858
20	21	8.199388733358324e-14	511764.51668091747
21	21	8.200263077126227e-14	511819.088811883
22	21	8.201165906664955e-14	511875.4388810842
23	21	8.202097223356904e-14	511933.56697480334
24	21	8.203057026874323e-14	511993.4730725838
25	21	8.204045315448241e-14	512055.1570640154
26	21	8.205062086064504e-14	512118.6187609697
27	21	8.206107334636513e-14	512183.8579083819
28	21	8.207181056124119e-14	512250.87419167126
29	21	8.208283244644822e-14	512319.66724368185
30	21	8.209413893567064e-14	512390.2366505052
31	21	8.210572995570814e-14	512462.5819552618
32	21	8.211760542706356e-14	512536.7026617706
33	21	8.212976526440504e-14	512612.598237433
34	21	8.214220937694301e-14	512690.26811558637
35	21	8.21549376687641e-14	512769.7116975877
36	21	8.216795003915223e-14	512850.928354818
37	21	8.218124638294507e-14	512933.9174309071
38	21	8.21948265906349e-14	513018.6782423629
39	21	8.220869054846753e-14	513105.21007918916
40	21	8.222283813863918e-14	513193.5122061141
41	21	8.223726923945646e-14	513283.58386358875
